,device,workload,metric,predictor,r2,max_error,mae,mape,medae,fit_time,score_time,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
cuda_A100-avg_pool2d-time-MLP,cuda_A100,avg_pool2d,time,MLP,0.9709195208287105,3.171035797305999,0.14336592743169882,0.2700659016348641,0.05443516483305057,6.077112674713135,0.008527278900146484,0.0132537,17.2748,1.3460943849667404,0.562268,4510
cuda_A100-avg_pool2d-power-MLP,cuda_A100,avg_pool2d,power,MLP,0.6354837017768236,133.67050372994058,28.767952259262756,0.14838294926196652,25.578261422323,23.334735572338104,0.005785524845123291,63.9785,347.873,209.71585210643016,226.703,4510
cuda_A100-avg_pool2d-memory-MLP,cuda_A100,avg_pool2d,memory,MLP,0.9377681910145378,5.733685573634247,0.16652789735243148,0.0854267829068695,0.061926366207425476,7.629566073417664,0.0065920352935791016,0.40625,12.140625,2.228403027993348,1.25390625,4510
cuda_A100-conv2d-time-xgb,cuda_A100,conv2d,time,xgb,0.7627016866106355,447.2223839257813,4.396043526017003,5.991193372920046,0.4536668564343154,0.4745139479637146,0.00670236349105835,0.0131166,1139.3200000000002,8.964296247412458,0.293837,3227
cuda_A100-conv2d-power-xgb,cuda_A100,conv2d,power,xgb,0.9213811453946028,123.45616198730468,14.625773002819379,0.08340977973012602,9.542508842468257,1.5213105082511902,0.017173051834106445,63.972,401.762,188.45206616052064,181.72,3227
cuda_A100-conv2d-memory-xgb,cuda_A100,conv2d,memory,xgb,0.8706046056631261,2.756921708583832,0.025115956347608714,0.023153132515893494,0.0032092630863189697,1.1560930013656616,0.018038392066955566,0.40625,8.39453125,0.5267530310660056,0.423828125,3227
cuda_A100-conv2d-time-ert,cuda_A100,conv2d,time,ert,0.7935841663657783,227.40840854285716,3.49231333323662,1.6560422233130578,0.11509104642857204,0.9959650635719299,0.04424387216567993,0.0131166,1139.3200000000002,8.964296247412458,0.293837,3227
cuda_A100-conv2d-power-ert,cuda_A100,conv2d,power,ert,0.869525410873813,149.76785571428596,19.60939786156568,0.10868855238966799,14.072069642857201,0.919876217842102,0.039569199085235596,63.972,401.762,188.45206616052064,181.72,3227
cuda_A100-conv2d-memory-ert,cuda_A100,conv2d,memory,ert,0.7996991433461194,3.2597433035714287,0.026652165800530737,0.01937607479807521,0.0011035156250000094,0.8256555199623108,0.03024667501449585,0.40625,8.39453125,0.5267530310660056,0.423828125,3227
cuda_A100-conv2d-time-dTr,cuda_A100,conv2d,time,dTr,-0.13799813212509005,747.7102205000001,8.236309634171826,3.0894324323835995,0.09575079999999998,2.3069885969161987,0.0014529824256896973,0.0131166,1139.3200000000002,8.964296247412458,0.293837,3227
cuda_A100-conv2d-power-dTr,cuda_A100,conv2d,power,dTr,0.8037149808605255,164.42499999999998,21.692363196594428,0.1177573363494491,12.917249999999997,1.002117097377777,0.0014550089836120605,63.972,401.762,188.45206616052064,181.72,3227
cuda_A100-conv2d-memory-dTr,cuda_A100,conv2d,memory,dTr,0.7236737637361721,3.1962890625,0.04945623911571208,0.043254324679781256,0.001953125,1.398417890071869,0.0015189647674560547,0.40625,8.39453125,0.5267530310660056,0.423828125,3227
cuda_A100-conv2d-time-liR,cuda_A100,conv2d,time,liR,0.1613939269414416,751.4216891841106,17.8900302832149,103.28787644647898,9.858975534627167,0.009210526943206787,0.0014026761054992676,0.0131166,1139.3200000000002,8.964296247412458,0.293837,3227
cuda_A100-conv2d-power-liR,cuda_A100,conv2d,power,liR,0.3277515472193402,304.06679557342113,51.22103072464134,0.342109225690112,48.012790311107615,0.009051680564880371,0.0014662742614746094,63.972,401.762,188.45206616052064,181.72,3227
cuda_A100-conv2d-memory-liR,cuda_A100,conv2d,memory,liR,0.4793052790030097,4.296627643633979,0.1521982959559083,0.26946825982136074,0.09262623774455714,0.008035898208618164,0.001339256763458252,0.40625,8.39453125,0.5267530310660056,0.423828125,3227
cuda_A100-conv2d-time-kNN,cuda_A100,conv2d,time,kNN,0.5560902327074887,643.8139824070989,6.654297421365767,1.6679856206036061,0.11257281838000022,0.006287753582000732,0.06339472532272339,0.0131166,1139.3200000000002,8.964296247412458,0.293837,3227
cuda_A100-conv2d-power-kNN,cuda_A100,conv2d,power,kNN,0.6964594598448887,177.4843865219009,30.107663761176426,0.16785181714597425,21.941778611314234,0.006271719932556152,0.06541258096694946,63.972,401.762,188.45206616052064,181.72,3227
cuda_A100-conv2d-memory-kNN,cuda_A100,conv2d,memory,kNN,0.7341700308022712,3.173621297463298,0.04492047165939005,0.04531223514087687,0.002617016190218084,0.006260812282562256,0.06462633609771729,0.40625,8.39453125,0.5267530310660056,0.423828125,3227
cuda_A100-conv2d-time-SVR,cuda_A100,conv2d,time,SVR,-0.001876348043624937,720.1447751009991,6.8512054326049565,1.5686718474352481,0.15795202301409283,0.19981616735458374,0.052348196506500244,0.0131166,1139.3200000000002,8.964296247412458,0.293837,3227
cuda_A100-conv2d-power-SVR,cuda_A100,conv2d,power,SVR,0.45549369717885463,187.12993625850493,45.567328724748364,0.301290918519198,39.16856712419802,0.23545384407043457,0.08173632621765137,63.972,401.762,188.45206616052064,181.72,3227
cuda_A100-conv2d-memory-SVR,cuda_A100,conv2d,memory,SVR,0.6753210515284809,3.896779202895708,0.07952033010014811,0.11645419134068415,0.04412757413661032,0.04631471633911133,0.008036911487579346,0.40625,8.39453125,0.5267530310660056,0.423828125,3227
cuda_A100-conv2d-time-MLP,cuda_A100,conv2d,time,MLP,0.7596688361928859,465.5709627692886,5.834925555030808,13.977585319550547,1.3946089874383154,7.741886615753174,0.005247533321380615,0.0131166,1139.3200000000002,8.964296247412458,0.293837,3227
cuda_A100-conv2d-power-MLP,cuda_A100,conv2d,power,MLP,0.775805920987095,142.4004245866926,26.132487642496503,0.14386296115240782,18.527214614296305,15.174463748931885,0.0050084590911865234,63.972,401.762,188.45206616052064,181.72,3227
cuda_A100-conv2d-memory-MLP,cuda_A100,conv2d,memory,MLP,0.8673045966802447,2.505273394231766,0.039931932881053185,0.05089849154855981,0.013366359207897853,5.350206196308136,0.00459212064743042,0.40625,8.39453125,0.5267530310660056,0.423828125,3227
cuda_A100-dense-time-xgb,cuda_A100,dense,time,xgb,0.9883447952952686,28.76356657409668,0.47870609551611876,0.4913790194972184,0.18168899248550088,0.5477128028869629,0.00968790054321289,0.013759799999999999,227.214,5.9922054194723415,1.47106,18421
cuda_A100-dense-power-xgb,cuda_A100,dense,power,xgb,0.9040222371609555,122.63777780151368,12.6277168910385,0.0547366119953187,7.3854413452148435,0.5464603900909424,0.0065302252769470215,62.906,421.439,258.661170403344,263.027,18421
cuda_A100-dense-memory-xgb,cuda_A100,dense,memory,xgb,0.9998067564135795,0.012337028980255127,0.0014824321041113648,0.0027482594828630606,0.0011095404624938965,0.5452743172645569,0.013510465621948242,0.40625,2.193359375,0.5339417096995277,0.490234375,18421
